sale_id,date,time,temperature,weather,total
1,2023-01-01,17:47,6.0,曇り,1150
2,2023-01-01,17:37,6.0,曇り,1350
3,2023-01-01,21:26,6.0,曇り,1550
4,2023-01-01,12:21,6.0,曇り,1650
5,2023-01-01,12:51,6.0,曇り,800
6,2023-01-01,13:18,6.0,曇り,1450
7,2023-01-01,11:49,6.0,曇り,850
8,2023-01-01,12:40,6.0,曇り,1700
9,2023-01-01,17:38,6.0,曇り,1350
10,2023-01-01,18:43,6.0,曇り,1000
11,2023-01-01,20:17,6.0,曇り,1150
12,2023-01-01,13:29,6.0,曇り,1400
13,2023-01-01,21:25,6.0,曇り,1300
14,2023-01-01,18:40,6.0,曇り,1100
15,2023-01-01,20:33,6.0,曇り,950
16,2023-01-01,13:48,6.0,曇り,1400
17,2023-01-01,13:56,6.0,曇り,1000
18,2023-01-01,19:53,6.0,曇り,1600
19,2023-01-01,17:38,6.0,曇り,1150
20,2023-01-01,19:15,6.0,曇り,1150
21,2023-01-01,21:49,6.0,曇り,1500
22,2023-01-01,20:13,6.0,曇り,750
23,2023-01-01,13:41,6.0,曇り,1250
24,2023-01-01,13:35,6.0,曇り,1650
25,2023-01-01,17:32,6.0,曇り,2100
26,2023-01-01,21:30,6.0,曇り,1150
27,2023-01-01,19:27,6.0,曇り,1650
28,2023-01-01,11:15,6.0,曇り,2300
29,2023-01-01,17:28,6.0,曇り,1000
30,2023-01-01,18:10,6.0,曇り,1100
31,2023-01-01,11:24,6.0,曇り,950
32,2023-01-01,21:42,6.0,曇り,1800
33,2023-01-01,12:03,6.0,曇り,800
34,2023-01-01,13:05,6.0,曇り,1450
35,2023-01-01,21:15,6.0,曇り,850
36,2023-01-01,19:59,6.0,曇り,1650
37,2023-01-01,20:20,6.0,曇り,1050
38,2023-01-01,11:32,6.0,曇り,1250
39,2023-01-01,11:28,6.0,曇り,750
40,2023-01-01,17:42,6.0,曇り,1850
41,2023-01-01,18:17,6.0,曇り,950
42,2023-01-01,21:31,6.0,曇り,950
43,2023-01-01,17:00,6.0,曇り,950
44,2023-01-01,13:27,6.0,曇り,1050
45,2023-01-01,11:53,6.0,曇り,1650
46,2023-01-01,17:57,6.0,曇り,1250
47,2023-01-01,20:39,6.0,曇り,1700
48,2023-01-02,20:01,2.8,晴れ,1250
49,2023-01-02,18:17,2.8,晴れ,1500
50,2023-01-02,12:22,2.8,晴れ,950
51,2023-01-02,12:17,2.8,晴れ,1200
52,2023-01-02,11:07,2.8,晴れ,1600
53,2023-01-02,20:38,2.8,晴れ,1500
54,2023-01-02,13:43,2.8,晴れ,1300
55,2023-01-02,17:46,2.8,晴れ,950
56,2023-01-02,11:12,2.8,晴れ,1500
57,2023-01-02,13:53,2.8,晴れ,1200
58,2023-01-02,12:28,2.8,晴れ,1000
59,2023-01-02,17:18,2.8,晴れ,900
60,2023-01-02,12:14,2.8,晴れ,1550
61,2023-01-02,20:26,2.8,晴れ,1350
62,2023-01-02,17:49,2.8,晴れ,1250
63,2023-01-02,17:29,2.8,晴れ,1000
64,2023-01-02,20:39,2.8,晴れ,1150
65,2023-01-02,12:48,2.8,晴れ,1450
66,2023-01-02,11:45,2.8,晴れ,1700
67,2023-01-02,13:09,2.8,晴れ,1850
68,2023-01-02,20:57,2.8,晴れ,1150
69,2023-01-02,19:48,2.8,晴れ,900
70,2023-01-02,21:57,2.8,晴れ,1500
71,2023-01-02,20:46,2.8,晴れ,1000
